predict,target,filename
372.031284,250.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/justica-com-as-proprias-maos.xml
605.498145,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/folha-em-branco.xml
384.675746,250.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/todos-tem-o-direito-de-viver.xml
389.546179,200.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/violencia-gera-consequencia.xml
418.633345,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/violencia-nao-se-resolve-com-violencia.xml
581.601337,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/osso-duro-de-roer.xml
526.064952,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/bandido-bom-e-bandido-morto/xml/violencia-so-gera-violencia.xml
413.971966,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/como-solucionar-o-problema-do-bullying-na-escola-ou-na-internet/xml/ult4657u664.xml
308.808432,250.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/como-solucionar-o-problema-do-bullying-na-escola-ou-na-internet/xml/ult4657u666.xml
585.843233,900.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/como-solucionar-o-problema-do-bullying-na-escola-ou-na-internet/xml/ult4657u660.xml
359.332261,150.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/como-solucionar-o-problema-do-bullying-na-escola-ou-na-internet/xml/ult4657u647.xml
504.427289,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/como-solucionar-o-problema-do-bullying-na-escola-ou-na-internet/xml/ult4657u654.xml
556.086259,450.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/e-possivel-prevenir-massacres-como-o-da-escola-de-realengo/xml/o-catastrofico-resultado-da-previsao-sobre-a-prevencao.xml
404.052466,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/e-possivel-prevenir-massacres-como-o-da-escola-de-realengo/xml/massacre-no-rio.xml
553.310583,950.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/e-possivel-prevenir-massacres-como-o-da-escola-de-realengo/xml/a-importancia-do-dialogo.xml
528.362142,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/e-possivel-prevenir-massacres-como-o-da-escola-de-realengo/xml/interrompidas.xml
353.136201,200.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/e-possivel-prevenir-massacres-como-o-da-escola-de-realengo/xml/titulo.xml
508.748111,350.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-energia-nuclear-e-uma-boa-solucao-para-o-brasil/xml/ult4657u64.xml
610.004244,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-energia-nuclear-e-uma-boa-solucao-para-o-brasil/xml/ult4657u79.xml
254.335730,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-energia-nuclear-e-uma-boa-solucao-para-o-brasil/xml/ult4657u78.xml
302.850191,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-energia-nuclear-e-uma-boa-solucao-para-o-brasil/xml/ult4657u82.xml
323.384796,250.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/direitos-em-conflito-liberdade-de-expressao-e-intimidade/xml/privilegio-a-informacao.xml
357.410889,0.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/direitos-em-conflito-liberdade-de-expressao-e-intimidade/xml/liberdade-de-expressao-e-intimidadelimites-pessoais.xml
336.993014,450.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/artes-e-educacao-fisica-opcionais-ou-obrigatorias/xml/educacao-de-qualidade-e-abrangente.xml
476.885718,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/artes-e-educacao-fisica-opcionais-ou-obrigatorias/xml/elas-fazem-a-diferenca.xml
483.542034,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/artes-e-educacao-fisica-opcionais-ou-obrigatorias/xml/as-culpadas-sao-a-arte-e-a-educacao-fisica.xml
373.414234,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/artes-e-educacao-fisica-opcionais-ou-obrigatorias/xml/reforma-ou-deforma-de-deformacao-do-ensino.xml
566.435659,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/artes-e-educacao-fisica-opcionais-ou-obrigatorias/xml/materias-fundamentais.xml
491.908472,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-sociedade-brasileira-e-os-conflitos-no-transito/xml/pressa-o-egoimo-egoismo-ganha-vez.xml
565.908888,600.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-sociedade-brasileira-e-os-conflitos-no-transito/xml/transito-sem-violencia.xml
500.804249,700.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-sociedade-brasileira-e-os-conflitos-no-transito/xml/dualidade.xml
451.189685,800.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-sociedade-brasileira-e-os-conflitos-no-transito/xml/o-transito-e-o-comportamento-violento-nas-grandes-cidades.xml
437.792440,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/automedicacao-por-que-a-pratica-e-tao-comum-entre-os-jovens/xml/o-costume-brasileiro.xml
281.113326,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/automedicacao-por-que-a-pratica-e-tao-comum-entre-os-jovens/xml/automedicacao.xml
591.524767,700.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/automedicacao-por-que-a-pratica-e-tao-comum-entre-os-jovens/xml/remediar-a-automedicacao-a-melhor-prevencao.xml
539.944374,450.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-quem-cabe-a-responsabilidade-sobre-a-escolha-alimentar-da-populacao/xml/nao-existem-culpados.xml
491.496797,550.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-quem-cabe-a-responsabilidade-sobre-a-escolha-alimentar-da-populacao/xml/e-tempo-da-reeducacao-alimentar.xml
415.210647,450.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-quem-cabe-a-responsabilidade-sobre-a-escolha-alimentar-da-populacao/xml/fast-food-da-morte.xml
424.161653,650.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-quem-cabe-a-responsabilidade-sobre-a-escolha-alimentar-da-populacao/xml/a-quem-cabe-a-responsabilidade-sobre-a-escolha-alimentar-da-populacao.xml
491.801497,450.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-sociedade-esta-perdendo-a-batalha-contra-o-crime/xml/politicas.xml
513.318672,450.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-sociedade-esta-perdendo-a-batalha-contra-o-crime/xml/sem-titulo-.xml
514.200492,850.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-sociedade-esta-perdendo-a-batalha-contra-o-crime/xml/a-policia-que-nos-acuda.xml
436.770823,150.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-sociedade-esta-perdendo-a-batalha-contra-o-crime/xml/brasil-x-violencias.xml
538.588004,650.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-policia-se-excede-contra-os-manifestantes-ou-cumpre-seu-papel/xml/sem-titulo-.xml
445.355089,250.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-policia-se-excede-contra-os-manifestantes-ou-cumpre-seu-papel/xml/excesso-de-autoridade.xml
319.903628,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-policia-se-excede-contra-os-manifestantes-ou-cumpre-seu-papel/xml/imediata.xml
569.352890,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/a-policia-se-excede-contra-os-manifestantes-ou-cumpre-seu-papel/xml/manifestantes-x-policiais-expressao-ou-repressao.xml
383.877251,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/e-justo-proibir-o-uso-do-celular-na-sala-de-aula/xml/ult4657u629.xml
540.767285,550.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/e-justo-proibir-o-uso-do-celular-na-sala-de-aula/xml/ult4657u642.xml
349.795046,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/e-justo-proibir-o-uso-do-celular-na-sala-de-aula/xml/ult4657u640.xml
604.660788,650.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/deve-se-reduzir-a-maioridade-penal-no-brasil/xml/quando.xml
374.207014,200.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/deve-se-reduzir-a-maioridade-penal-no-brasil/xml/maioridade-penal-dezesseis-anos-e-o-ideal.xml
382.376012,300.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/deve-se-reduzir-a-maioridade-penal-no-brasil/xml/deve-se-reduzir-a-maioridade-penal-no-brasil.xml
432.548629,450.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/como-resolver-o-problema-da-criminalidade-infantil-em-nossa-sociedade/xml/combate-a-criminalidade-infantil.xml
426.784889,400.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/cultura-do-estupro-a-culpa-e-da-vitima/xml/sem-titulo-.xml
445.818302,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/datav2.0_norm_1/cultura-do-estupro-a-culpa-e-da-vitima/xml/estimulando-o-estupro.xml
