predict,target,filename
668.396301,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6412.xml
700.444641,750.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6439.xml
622.799622,650.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6438.xml
703.106201,700.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6502.xml
549.996826,650.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6476.xml
665.671875,350.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6462.xml
622.258850,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6514.xml
585.660522,900.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6501.xml
724.689880,850.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6529.xml
656.449524,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6461.xml
696.943604,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6459.xml
582.419678,550.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6505.xml
724.695618,650.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6538.xml
712.824585,700.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6458.xml
567.880554,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6472.xml
657.891907,750.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6512.xml
710.970703,700.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6506.xml
557.047668,0.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6480.xml
729.331299,850.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6441.xml
547.264160,250.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6521.xml
682.101868,600.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6524.xml
637.675476,650.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6525.xml
616.053284,750.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6527.xml
603.401123,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6423.xml
615.573914,250.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6547.xml
599.345520,600.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6546.xml
683.346375,750.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6551.xml
591.677856,500.000000,/Users/evelin.amorim/Documents/UFMG/aes/databrasilescola_1/tema-brasil-um-pais-energia-limpa/xml/6425.xml
